review_text,rating,date,bank_name,source
So bad now and hard to use,5,2025-06-09,Commercial Bank of Ethiopia,Google Play
"it is so amazing app. but, it is better to update it to access without any internet fees. just make it to open by free internet service when we open data connection.",5,2025-06-09,Commercial Bank of Ethiopia,Google Play
v.good app,4,2025-06-09,Commercial Bank of Ethiopia,Google Play
very good app,1,2025-06-09,Commercial Bank of Ethiopia,Google Play
Very amazing app indeed. I'm enjoying it,5,2025-06-08,Commercial Bank of Ethiopia,Google Play
Best,5,2025-06-08,Commercial Bank of Ethiopia,Google Play
20 years,5,2025-06-08,Commercial Bank of Ethiopia,Google Play
A great app. It's like carrying a bank in your pocket.,4,2025-06-07,Commercial Bank of Ethiopia,Google Play
More than garrantty bank EBC.,4,2025-06-07,Commercial Bank of Ethiopia,Google Play
really am happy to this app it is Siple to use everything,5,2025-06-07,Commercial Bank of Ethiopia,Google Play
I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07,Commercial Bank of Ethiopia,Google Play
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,Commercial Bank of Ethiopia,Google Play
what is this app problem???,1,2025-06-05,Commercial Bank of Ethiopia,Google Play
the app is proactive and a good connections.,5,2025-06-05,Commercial Bank of Ethiopia,Google Play
I cannot send to cbebirr app. through this app.,3,2025-06-05,Commercial Bank of Ethiopia,Google Play
good,4,2025-06-05,Commercial Bank of Ethiopia,Google Play
not functional,1,2025-06-05,Commercial Bank of Ethiopia,Google Play
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,Commercial Bank of Ethiopia,Google Play
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,Commercial Bank of Ethiopia,Google Play
best,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
bezabih,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
Best Mobile Banking app ever,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
good,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,Commercial Bank of Ethiopia,Google Play
Good,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
👌👍,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
very niec,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
best app of finance,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
yetemeta,1,2025-06-03,Commercial Bank of Ethiopia,Google Play
Engida Kebede Fetera,5,2025-06-03,Commercial Bank of Ethiopia,Google Play
good,5,2025-06-03,Commercial Bank of Ethiopia,Google Play
it is not safety,1,2025-06-03,Commercial Bank of Ethiopia,Google Play
NICE bank,5,2025-06-03,Commercial Bank of Ethiopia,Google Play
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,Commercial Bank of Ethiopia,Google Play
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,Commercial Bank of Ethiopia,Google Play
It's good but try to make it facilitate for your client,4,2025-06-02,Commercial Bank of Ethiopia,Google Play
best app,5,2025-06-01,Commercial Bank of Ethiopia,Google Play
Awesome bank,5,2025-06-01,Commercial Bank of Ethiopia,Google Play
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,Commercial Bank of Ethiopia,Google Play
Masha alla,5,2025-05-31,Commercial Bank of Ethiopia,Google Play
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,Commercial Bank of Ethiopia,Google Play
better service,5,2025-05-31,Commercial Bank of Ethiopia,Google Play
"it,s good app and time manager 👍",5,2025-05-30,Commercial Bank of Ethiopia,Google Play
malkaamuu Jiidhaa Namoo,5,2025-05-30,Commercial Bank of Ethiopia,Google Play
lower system everything,3,2025-05-30,Commercial Bank of Ethiopia,Google Play
Nice!,5,2025-05-30,Commercial Bank of Ethiopia,Google Play
Keep it up My CBE,5,2025-05-29,Commercial Bank of Ethiopia,Google Play
yes good,5,2025-05-28,Commercial Bank of Ethiopia,Google Play
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,Commercial Bank of Ethiopia,Google Play
i like everything of this app,5,2025-05-27,Commercial Bank of Ethiopia,Google Play
good,5,2025-05-27,Commercial Bank of Ethiopia,Google Play
🤬🤬🤬🤬 network 🛜,1,2025-05-26,Commercial Bank of Ethiopia,Google Play
Best,5,2025-05-26,Commercial Bank of Ethiopia,Google Play
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,Commercial Bank of Ethiopia,Google Play
nice,5,2025-05-26,Commercial Bank of Ethiopia,Google Play
good job,5,2025-05-26,Commercial Bank of Ethiopia,Google Play
Good,5,2025-05-25,Commercial Bank of Ethiopia,Google Play
it's awesome!!,5,2025-05-25,Commercial Bank of Ethiopia,Google Play
best,5,2025-05-25,Commercial Bank of Ethiopia,Google Play
thankyou every one,5,2025-05-25,Commercial Bank of Ethiopia,Google Play
best app,5,2025-05-25,Commercial Bank of Ethiopia,Google Play
Ronaldo 🇵🇹 🥇,5,2025-05-25,Commercial Bank of Ethiopia,Google Play
