review,rating,date,bank_name,source,sentiment_score,sentiment_label
So bad now and hard to use,5,2025-06-09,Commercial Bank of Ethiopia,Google Play,-0.6361,negative
"it is so amazing app. but, it is better to update it to access without any internet fees. just make it to open by free internet service when we open data connection.",5,2025-06-09,Commercial Bank of Ethiopia,Google Play,0.9049,positive
v.good app,4,2025-06-09,Commercial Bank of Ethiopia,Google Play,0.0,neutral
very good app,1,2025-06-09,Commercial Bank of Ethiopia,Google Play,0.4927,positive
Very amazing app indeed. I'm enjoying it,5,2025-06-08,Commercial Bank of Ethiopia,Google Play,0.8173,positive
Best,5,2025-06-08,Commercial Bank of Ethiopia,Google Play,0.6369,positive
20 years,5,2025-06-08,Commercial Bank of Ethiopia,Google Play,0.0,neutral
A great app. It's like carrying a bank in your pocket.,4,2025-06-07,Commercial Bank of Ethiopia,Google Play,0.765,positive
More than garrantty bank EBC.,4,2025-06-07,Commercial Bank of Ethiopia,Google Play,0.0,neutral
really am happy to this app it is Siple to use everything,5,2025-06-07,Commercial Bank of Ethiopia,Google Play,0.6096,positive
I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07,Commercial Bank of Ethiopia,Google Play,-0.298,negative
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,Commercial Bank of Ethiopia,Google Play,0.6369,positive
what is this app problem???,1,2025-06-05,Commercial Bank of Ethiopia,Google Play,-0.5007,negative
the app is proactive and a good connections.,5,2025-06-05,Commercial Bank of Ethiopia,Google Play,0.6908,positive
I cannot send to cbebirr app. through this app.,3,2025-06-05,Commercial Bank of Ethiopia,Google Play,0.0,neutral
good,4,2025-06-05,Commercial Bank of Ethiopia,Google Play,0.4404,positive
not functional,1,2025-06-05,Commercial Bank of Ethiopia,Google Play,0.0,neutral
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,Commercial Bank of Ethiopia,Google Play,0.1739,positive
